position
"{'lat': 44.947943, 'lon': -123.05205}"
"{'lat': 44.951235, 'lon': -123.051482}"
"{'lat': 44.579355, 'lon': -123.25975}"
"{'lat': 44.567576, 'lon': -123.272474}"
"{'lat': 44.947254, 'lon': -123.049874}"
"{'lat': 44.575672, 'lon': -123.261567}"
"{'lat': 44.944205, 'lon': -123.049908}"
"{'lat': 44.946328, 'lon': -123.049225}"
"{'lat': 44.572447, 'lon': -123.264425}"
"{'lat': 44.572974, 'lon': -123.263248}"
"{'lat': 44.56907, 'lon': -123.260007}"
"{'lat': 44.918503, 'lon': -123.045197}"
"{'lat': 44.566341, 'lon': -123.260854}"
"{'lat': 44.566683, 'lon': -123.260072}"
"{'lat': 44.562322, 'lon': -123.262222}"
"{'lat': 44.9409, 'lon': -123.037025}"
"{'lat': 44.905513, 'lon': -123.042943}"
"{'lat': 44.943594, 'lon': -123.03651}"
"{'lat': 44.904179, 'lon': -123.040447}"
"{'lat': 44.941574, 'lon': -123.033987}"
"{'lat': 44.899968, 'lon': -123.039411}"
"{'lat': 44.953168, 'lon': -123.03081}"
"{'lat': 44.901907, 'lon': -123.038791}"
"{'lat': 44.97168, 'lon': -123.028934}"
"{'lat': 44.968979, 'lon': -123.028973}"
"{'lat': 44.898911, 'lon': -123.039019}"
"{'lat': 44.969027, 'lon': -123.028158}"
"{'lat': 44.982361, 'lon': -123.026966}"
"{'lat': 44.898427, 'lon': -123.037918}"
"{'lat': 44.978555, 'lon': -123.027053}"
"{'lat': 44.999617, 'lon': -123.026128}"
"{'lat': 44.9944, 'lon': -123.026079}"
"{'lat': 44.991651, 'lon': -123.026072}"
"{'lat': 44.990014, 'lon': -123.026}"
"{'lat': 44.940406, 'lon': -123.027054}"
"{'lat': 44.886358, 'lon': -123.032077}"
"{'lat': 44.883293, 'lon': -123.030295}"
"{'lat': 44.88101, 'lon': -123.029268}"
"{'lat': 44.87961, 'lon': -123.029399}"
"{'lat': 44.877296, 'lon': -123.02653}"
"{'lat': 44.92361, 'lon': -123.014444}"
"{'lat': 44.923853, 'lon': -123.013924}"
"{'lat': 44.922796, 'lon': -123.011746}"
"{'lat': 44.869618, 'lon': -123.023028}"
"{'lat': 45.173737, 'lon': -113.887293}"
"{'lat': 44.25091, 'lon': -114.46713}"
"{'lat': 44.662365, 'lon': -103.855487}"
"{'lat': 44.655607, 'lon': -103.857425}"
"{'lat': 44.649336, 'lon': -103.860519}"
"{'lat': 44.502837, 'lon': -103.85995}"
"{'lat': 44.501, 'lon': -103.860544}"
"{'lat': 44.50037, 'lon': -103.860287}"
"{'lat': 44.490589, 'lon': -103.865146}"
"{'lat': 44.490228, 'lon': -103.863167}"
"{'lat': 44.49022, 'lon': -103.862582}"
"{'lat': 44.486605, 'lon': -103.831815}"
"{'lat': 44.476237, 'lon': -103.818858}"
"{'lat': 44.588873, 'lon': -104.699039}"
"{'lat': 44.384693, 'lon': -103.721664}"
"{'lat': 44.369711, 'lon': -103.729741}"
"{'lat': 44.417736, 'lon': -103.533432}"
"{'lat': 44.419537, 'lon': -103.528781}"
"{'lat': 44.400343, 'lon': -103.508242}"
"{'lat': 44.393801, 'lon': -103.502591}"
"{'lat': 44.964361, 'lon': -94.053436}"
"{'lat': 45.036379, 'lon': -93.767431}"
"{'lat': 45.174312, 'lon': -93.876019}"
"{'lat': 45.171043, 'lon': -93.859955}"
"{'lat': 45.171367, 'lon': -93.859993}"
"{'lat': 45.178921, 'lon': -93.871559}"
"{'lat': 45.18374, 'lon': -93.877389}"
"{'lat': 45.185016, 'lon': -93.876919}"
"{'lat': 45.185373, 'lon': -93.877088}"
"{'lat': 45.087446, 'lon': -93.737856}"
"{'lat': 45.190028, 'lon': -93.878561}"
"{'lat': 44.838715, 'lon': -93.800805}"
"{'lat': 44.838169, 'lon': -93.798031}"
"{'lat': 44.770431, 'lon': -93.919092}"
"{'lat': 44.768467, 'lon': -94.132524}"
"{'lat': 44.935956, 'lon': -93.655603}"
"{'lat': 45.262634, 'lon': -94.128116}"
"{'lat': 44.896624, 'lon': -94.371916}"
"{'lat': 44.896761, 'lon': -94.373523}"
"{'lat': 44.877719, 'lon': -94.376249}"
"{'lat': 44.988654, 'lon': -93.585011}"
"{'lat': 44.875854, 'lon': -94.376353}"
"{'lat': 44.875406, 'lon': -94.376451}"
"{'lat': 44.876626, 'lon': -94.377433}"
"{'lat': 44.869473, 'lon': -94.376257}"
"{'lat': 44.89415, 'lon': -94.395071}"
"{'lat': 45.284512, 'lon': -93.805867}"
"{'lat': 45.285762, 'lon': -93.805013}"
"{'lat': 45.288133, 'lon': -93.807036}"
"{'lat': 45.287857, 'lon': -93.805484}"
"{'lat': 44.864057, 'lon': -93.589956}"
"{'lat': 44.678194, 'lon': -94.006669}"
"{'lat': 45.04704, 'lon': -93.543112}"
"{'lat': 44.902312, 'lon': -93.558429}"
"{'lat': 44.835024, 'lon': -93.600072}"
"{'lat': 45.296932, 'lon': -93.799514}"
"{'lat': 44.82936, 'lon': -93.60181}"
"{'lat': 45.300588, 'lon': -93.798761}"
"{'lat': 45.299932, 'lon': -93.796768}"
"{'lat': 45.299494, 'lon': -93.795401}"
"{'lat': 45.238926, 'lon': -93.662593}"
"{'lat': 45.24565, 'lon': -93.668937}"
"{'lat': 45.244459, 'lon': -93.667079}"
"{'lat': 45.237216, 'lon': -93.651699}"
"{'lat': 45.246274, 'lon': -93.66186}"
"{'lat': 44.862361, 'lon': -93.545277}"
"{'lat': 44.791599, 'lon': -93.598469}"
"{'lat': 44.795635, 'lon': -93.591472}"
"{'lat': 44.861489, 'lon': -93.538553}"
"{'lat': 45.020383, 'lon': -93.493977}"
"{'lat': 44.859398, 'lon': -93.534329}"
