restaurant_name,name_id
Cinnabon Pilot Travel Center-Tucson,1150
Carl's Junior,1151
BURGER KING,1152
McDonald's,1153
Jack in The Box,1154
McDonald's,1155
Carl's Junior,1156
Paricutin,1157
Jack in The Box,1158
McDonald's,1159
KFC Nogales,1160
Panda Express,1161
Wendy's,1162
Manny's Vacuero Burgers,1163
BURGER KING,1164
McDonald's,1165
BURGER KING,1166
Carl's Junior,1167
Taco Bell,1168
McDonald's,1169
Taco Bell,1170
Jack in The Box,1171
BURGER KING,1172
Popeyes,1173
143 Street Tacos,1174
KFC Sierra Vista,1175
Filibertos,1176
Jack in The Box,1177
Wendy's,1178
Culvers,1179
Taco Bell,1180
Popeyes,1181
McDonald's,1182
Carl's Junior,1183
Arby's,1184
Buffalo Wild Wings,1185
Taco Bell,1186
It's Just Wings,1187
McDonald's,1188
Panda Express,1189
BURGER KING,1190
Arby's,1191
KFC Green Valley,1192
McDonald's,1193
Arby's,1194
Arby's,1195
BURGER KING,1196
Taco Bell,1197
Culver's,1198
Popeyes,1199
Carl's Junior,1200
Rigoberto's Mexican Food,1201
McDonald's,1202
Arby's,1203
Taco Bell,1204
Roadrunner Markets,1205
Panda Express,1206
KFC Benson,1207
Taco Bell,1208
McDonald's,1209
BURGER KING,1210
Wendy's,1211
Jack in The Box,1212
Adolfo's Taco Shop,1213
Fito's Taco Shop,1214
Taco Bell,1215
BURGER KING,1216
Popeyes,1217
Chick-fil-A,1218
Panda Express,1219
Baggin's Gourmet Sandwiches,1220
Freddy's Frozen Custurd & Steakburgers,1221
Arby's,1222
Taco Bell,1223
Jack in The Box,1224
KFC Tucson,1225
Carl's Junior,1226
A&W,1227
McDonald's,1228
Kolsrud Fast Food,1229
BURGER KING,1230
Hamburger Stand,1231
Carl's Junior,1232
Taco Bell,1233
Arby's,1234
Wendy's,1235
Panda Express,1236
It's Just Wings,1237
McDonald's,1238
McDonald's,1239
Yokohama Asian Express,1240
Jack in The Box,1241
Taco Bell,1242
Cinnabon Pilot Travel Center-Tucson,1243
Chickenuevo,1244
Carl's Junior,1245
Eegee's,1246
Wendy's,1247
McDonald's,1248
McDonald's,1249
Acai Paradise,1250
BURGER KING,1251
McDonald's,1252
Jack in The Box,1253
McDonald's,1254
Paricutin,1255
Carl's Junior,1256
Jack in The Box,1257
KFC Nogales,1258
McDonald's,1259
Panda Express,1260
Wendy's,1261
BURGER KING,1262
Carl's Junior,1263
Taco Bell,1264
McDonald's,1265
BURGER KING,1266
Manny's Vacuero Burgers,1267
McDonald's,1268
Taco Bell,1269
Jack in The Box,1270
Popeyes,1271
BURGER KING,1272
143 Street Tacos,1273
Culvers,1274
Wendy's,1275
KFC Sierra Vista,1276
Buffalo Wild Wings,1277
Filibertos,1278
Jack in The Box,1279
McDonald's,1280
Carl's Junior,1281
Arby's,1282
Taco Bell,1283
It's Just Wings,1284
Popeyes,1285
BURGER KING,1286
Taco Bell,1287
McDonald's,1288
Panda Express,1289
Arby's,1290
KFC Green Valley,1291
McDonald's,1292
Arby's,1293
Arby's,1294
BURGER KING,1295
Taco Bell,1296
Culver's,1297
Popeyes,1298
Carl's Junior,1299
Rigoberto's Mexican Food,1300
McDonald's,1301
Taco Bell,1302
Arby's,1303
Roadrunner Markets,1304
KFC Benson,1305
Taco Bell,1306
McDonald's,1307
Jack in The Box,1308
BURGER KING,1309
Wendy's,1310
Adolfo's Taco Shop,1311
Panda Express,1312
Fito's Taco Shop,1313
Taco Bell,1314
BURGER KING,1315
Popeyes,1316
Panda Express,1317
Freddy's Frozen Custurd & Steakburgers,1318
Taco Bell,1319
Baggin's Gourmet Sandwiches,1320
Arby's,1321
Carl's Junior,1322
Chick-fil-A,1323
A&W,1324
McDonald's,1325
Taco Bell,1326
Cinnabon Pilot Travel Center-Tucson,1327
Yokohama Asian Express,1328
BURGER KING,1329
Carl's Junior,1330
Jack in The Box,1331
Kolsrud Fast Food,1332
KFC Tucson,1333
McDonald's,1334
Carl's Junior,1335
Taco Bell,1336
Jack in The Box,1337
Arby's,1338
Eegee's,1339
Wendy's,1340
Wendy's,1341
