index,locationabbr,state_code,State_County_Code,POVERTY_RATE,YEAR
549,HI,15,15007,12.1,2010
550,HI,15,15009,11.9,2010
551,ID,16,16001,13.9,2010
552,ID,16,16003,15.8,2010
553,ID,16,16005,16.3,2010
554,ID,16,16007,15.5,2010
555,ID,16,16009,16.8,2010
556,ID,16,16011,15.6,2010
557,ID,16,16013,10.1,2010
558,ID,16,16015,14.4,2010
559,ID,16,16017,17.4,2010
560,ID,16,16019,13.8,2010
561,ID,16,16021,17.1,2010
562,ID,16,16023,15.4,2010
563,ID,16,16025,11.3,2010
564,ID,16,16027,19.7,2010
565,ID,16,16029,12.1,2010
566,ID,16,16031,15.7,2010
567,ID,16,16033,17.9,2010
568,ID,16,16035,15.3,2010
569,ID,16,16037,14.9,2010
570,ID,16,16039,15.8,2010
571,ID,16,16041,10.5,2010
572,ID,16,16043,16.4,2010
573,ID,16,16045,17.1,2010
574,ID,16,16047,16.4,2010
575,ID,16,16049,18.3,2010
576,ID,16,16051,12.0,2010
577,ID,16,16053,19.1,2010
578,ID,16,16055,14.6,2010
579,ID,16,16057,17.6,2010
580,ID,16,16059,21.1,2010
581,ID,16,16061,17.8,2010
582,ID,16,16063,14.1,2010
583,ID,16,16065,28.4,2010
584,ID,16,16067,15.8,2010
585,ID,16,16069,12.5,2010
586,ID,16,16071,12.4,2010
587,ID,16,16073,22.7,2010
588,ID,16,16075,17.1,2010
589,ID,16,16077,16.4,2010
590,ID,16,16079,20.8,2010
591,ID,16,16081,11.3,2010
592,ID,16,16083,15.4,2010
593,ID,16,16085,12.6,2010
594,ID,16,16087,17.0,2010
595,IL,17,17001,13.2,2010
596,IL,17,17003,31.1,2010
597,IL,17,17005,13.7,2010
598,IL,17,17007,11.6,2010
599,IL,17,17009,14.4,2010
600,IL,17,17011,11.2,2010
601,IL,17,17013,10.9,2010
602,IL,17,17015,13.0,2010
603,IL,17,17017,12.8,2010
604,IL,17,17019,19.6,2010
605,IL,17,17021,14.2,2010
606,IL,17,17023,12.1,2010
607,IL,17,17025,15.3,2010
608,IL,17,17027,8.4,2010
609,IL,17,17029,18.7,2010
610,IL,17,17031,16.8,2010
611,IL,17,17033,14.9,2010
612,IL,17,17035,11.6,2010
613,IL,17,17037,14.3,2010
614,IL,17,17039,10.9,2010
615,IL,17,17041,11.1,2010
616,IL,17,17043,6.9,2010
617,IL,17,17045,14.3,2010
618,IL,17,17047,11.3,2010
619,IL,17,17049,9.9,2010
620,IL,17,17051,15.8,2010
621,IL,17,17053,11.0,2010
622,IL,17,17055,20.3,2010
623,IL,17,17057,14.5,2010
624,IL,17,17059,18.5,2010
625,IL,17,17061,14.9,2010
626,IL,17,17063,8.0,2010
627,IL,17,17065,14.6,2010
628,IL,17,17067,13.4,2010
629,IL,17,17069,19.4,2010
630,IL,17,17071,12.3,2010
631,IL,17,17073,10.8,2010
632,IL,17,17075,11.2,2010
633,IL,17,17077,23.5,2010
634,IL,17,17079,10.8,2010
635,IL,17,17081,17.0,2010
636,IL,17,17083,10.0,2010
637,IL,17,17085,9.3,2010
638,IL,17,17087,14.2,2010
639,IL,17,17089,11.0,2010
640,IL,17,17091,14.8,2010
641,IL,17,17093,4.6,2010
642,IL,17,17095,15.4,2010
643,IL,17,17097,9.0,2010
644,IL,17,17099,13.2,2010
645,IL,17,17101,17.5,2010
646,IL,17,17103,11.0,2010
647,IL,17,17105,11.5,2010
648,IL,17,17107,11.5,2010
649,IL,17,17109,22.0,2010
650,IL,17,17111,7.3,2010
651,IL,17,17113,11.7,2010
652,IL,17,17115,17.7,2010
653,IL,17,17117,13.0,2010
654,IL,17,17119,14.3,2010
655,IL,17,17121,16.5,2010
656,IL,17,17123,11.4,2010
657,IL,17,17125,15.0,2010
658,IL,17,17127,16.7,2010
659,IL,17,17129,9.0,2010
660,IL,17,17131,11.3,2010
661,IL,17,17133,4.9,2010
662,IL,17,17135,14.4,2010
663,IL,17,17137,14.8,2010
664,IL,17,17139,10.4,2010
665,IL,17,17141,10.8,2010
666,IL,17,17143,14.3,2010
